date,location,title,categories,source_link
2024-03-07,chile,Canada to play Netherlands in June 6 exhibition at Rotterdam,Other,https://apnews.com/article/canada-netherlands-exhibition-7abe6a487c080c71158d9e93b0b01a9a
2024-02-21,chile,"Death of Chilean poet Pablo Neruda days after 1973 coup should be reinvestigated, court rules",Security and Law Enforcement,https://apnews.com/article/chile-pablo-neruda-poet-death-poisoning-salvador-allende-pinochet-0838dbd970fdb9c10b0a3604352a53ae
2024-02-19,chile,"Illegally adopted during Chile’s dictatorship, they’re now reuniting with biological families",Other,https://apnews.com/article/chile-illegal-adoptions-dictatorship-f1b022c18296d7ad8ecc1cb30ca0a879
2024-02-09,chile,Ex-Catholic priest gets nearly 22 years in prison for attempted sexual abuse of a South Carolina boy,Other,https://apnews.com/article/catholic-priest-sex-abuse-prison-south-carolina-4756516233f710e2c171daf15c02a557
2024-02-07,chile,"Chilean ex-President Piñera drowned after a crash in a helicopter he was piloting, prosecutors say",Political Events,https://apnews.com/article/chile-ex-president-sebastian-pinera-helicopter-crash-fd66912b5db003e98399a2dad6afad3a
2024-02-07,chile,Former Chilean President Sebastián Piñera dies in a helicopter crash. He was 74,Political Events,https://apnews.com/article/chile-sebastian-pinera-former-president-helicopter-5fa310f8516086a733055b6d2c35a2c8
2024-01-25,chile,Colombia declares a disaster because of wildfires and asks for international help,International Relations and Diplomacy,https://apnews.com/article/colombia-wildfires-el-nino-rain-97822859911613e3d8cd353924e96d12
2023-12-18,chile,"Chilean voters reject conservative constitution, after defeating leftist charter last year",Culture and Society,https://apnews.com/article/chile-new-constitution-referendum-f7be231ff564856f6a5e1b0c0ac12c57
2023-12-15,chile,Chile arrests 55 people in a $275 million tax fraud case that officials call the country’s biggest,Political Events,https://apnews.com/article/chile-fiscal-fraud-arrests-tax-52f1b7fefbdcf6f68d959915cfba0944
2023-12-11,chile,"On Antarctica’s ice and in its seas, penguins in a warming world",Other,https://apnews.com/article/antarctica-penguins-climate-change-guterres-photos-2c4aae5ef61ac2428661a40e54239859
2023-12-03,chile,Henry Kissinger’s unwavering support for brutal regimes still haunts Latin America,Other,https://apnews.com/article/kissinger-legacy-latin-america-chile-argentina-4780b50a4cc7f865b9771c1ab25a7187
2023-11-30,chile,Henry Kissinger’s complicated legacy draws admiration and scorn from across the globe,Other,https://apnews.com/article/kissinger-death-global-reaction-4e98e88ae257d21603924651c75a383d
2023-11-24,chile,"‘We absolutely need to act immediately,’ says UN chief during visit to Antarctica ahead of COP28",International Relations and Diplomacy,https://apnews.com/article/cop-guterres-antarctica-climate-change-efb31afe790523e2a79aff49a4f78d9c
2023-11-07,chile,Chile president calls for referendum on new constitution proposal drafted by conservative councilors,Political Events,https://apnews.com/article/chile-constitution-boric-pinochet-hevia-e752d1656e7f3c648fb771ab786a3b48
2023-11-01,chile,Israel criticizes South American countries after they cut diplomatic ties and recall ambassadors,Political Events,https://apnews.com/article/israel-bolivia-colombia-chile-argentina-brazil-4cc038c0dbe1de9b5e4118e2ceac2181
2023-11-01,chile,Bolivia severs diplomatic ties with Israel as Chile and Colombia recall their ambassadors,Political Events,https://apnews.com/article/bolivia-israel-gaza-diplomatic-relations-f403fc27c9b2194a317fda829fb7ed08
2023-10-31,chile,Powerful 6.6-earthquake strikes off the coast of Chile and is felt in neighboring Argentina,Culture and Society,https://apnews.com/article/chile-earthquake-atacama-argentina-67accfcdd48a846d60c7a1c6a017efc9
2023-10-29,chile,Young talents push U.S. women’s national soccer team to Pan American Games semifinal,Sports,https://apnews.com/article/womens-soccer-united-states-pan-american-games-e016da3b7faeec564f055751a5828978
2023-10-23,chile,"Skeet shooter Vincent Hancock and gymnast Jordan Chiles, U.S. flagbearers in Pan Am Games, win gold",Sports,https://apnews.com/article/hancock-shooter-gold-pan-american-games-e22280ed2892c5adc2407d0edf730aa0
2023-10-19,chile,"TV equipment stolen from Pan Am Games’ opening ceremony site in Chile, boosting security concerns",Security and Law Enforcement,https://apnews.com/article/insecurity-santiago-pan-american-games-4734a5daa1ecfc28dfe33b021d3b6677
2023-10-17,chile,Pan American Games set to open in Chile with many athletes eyeing spots at the Paris Olympics,Sports,https://apnews.com/article/pan-american-games-preview-chile-90c82443393bc607a581abd8f2193b77
2023-09-28,chile,"Inspired by llamas, the desert and Mother Earth, these craftswomen weave sacred textiles",Culture and Society,https://apnews.com/article/chile-aymara-sacred-textile-craft-e538a3a65e236cf04ce0ee30856f6bdf
2023-09-22,chile,South America’s 2030 World Cup soccer bid seeks to rise above political tensions in the region,Political Events,https://apnews.com/article/world-cup-2030-south-american-bid-e6ec0667dbc76235ff51102d1cdb13b1
2023-09-20,chile,"In Chile, justice eludes victims of Catholic clergy sex abuse years after the crisis exploded",Other,https://apnews.com/article/chile-catholic-church-clergy-sex-abuse-c11f8200a6b64c1b88e1b492cca6d196
2023-09-14,chile,Ex-Wallaby Leali’ifano Samoa’s flyhalf against Chile in Rugby World Cup opener,Other,https://apnews.com/article/samoa-chile-rugby-world-cup-d371321a759bb1bdfcd55d80f62f7510
2023-09-12,chile,Spain strips deceased former Chilean President Pinochet of a Spanish military honor,Political Events,https://apnews.com/article/spain-chile-pinochet-medal-withdrawn-ebd4c700ca7b3c6739129ef982bdeb52
2023-09-11,chile,Chile president defends democracy 50 years after coup ushered in brutal military dictatorship,Political Events,https://apnews.com/article/chile-coup-anniversary-pinochet-allende-boric-c00adad8026a5dc54f2834ef9c31fb8a
2023-08-26,curacao,Curacao defeats Taiwan 2-0 in Little League World Series semifinal,International Relations and Diplomacy,https://apnews.com/article/little-league-international-curacao-taiwan-d45b1f50f87b2f32953f72f281882645
2023-08-25,curacao,Can Taiwan get back to the top at Little League World Series? Curacao is next obstacle,International Relations and Diplomacy,https://apnews.com/article/little-league-world-series-taiwan-curacao-f47187bf327a1a3c48f683b87d070f88
2022-11-16,curacao,US-owned firms appear to help Venezuela avoid US sanctions,International Relations and Diplomacy,https://apnews.com/article/business-venezuela-caribbean-curacao-f7e4f0cbcb315e392a5993678ac7341c
2022-08-29,curacao,"Hawaii wins Little League title, beating Curacao 13-3",Sports,https://apnews.com/article/covid-sports-health-travel-baseball-bc38356c91b090f5b1058b4fc40e8432
2022-08-27,curacao,Hawaii beats Tennessee 5-1 to take spot at LLWS championship,Sports,https://apnews.com/article/sports-baseball-tennessee-hawaii-honolulu-cab37214af218e920e25f477dfdc2a1e
2024-01-03,curacao,Curacao and St. Maarten to welcome new currency more than a decade after becoming autonomous,Culture and Society,https://apnews.com/article/curacao-st-maarten-caribbean-guilder-netherlands-antillean-5e8db57415afefb2096075a25538d089
2022-08-27,curacao,"Hawaii, Curacao take different routes to LLWS championship",Sports,https://apnews.com/article/sports-baseball-united-states-hawaii-nicaragua-3b8a3141a357b1af1bf514beae308aad
