,title,category,date,location,url
60,‘No excuses’: Fan banned for racist comments,UPDATEDAFL,2024-07-10,Australia,https://www.news.com.au/sport/afl/brisbane-lions-desperate-to-avoid-complacency-against-struggling-west-coast-eagles/news-story/660e27add27bbbb3ab1249a203b0525b
61,Popular pizza chain quietly shuts down,Australian Economy,2024-07-10,Australia,https://www.news.com.au/finance/economy/australian-economy/adelaide-pizza-chain-hey-bianca-shuts-stores-and-online-delivery-service/news-story/2079dc43df229995a0e50d00b6b7a537
62,Moses opens up on Eels coaching drama,NRL,2024-07-10,Australia,https://www.news.com.au/sport/nrl/there-is-no-disconnect-mitch-moses-thrilled-to-have-jason-ryles-as-his-coach-in-2025-shuts-down-rumours-of-a-rift-between-players-and-board/news-story/8a36ff32aa0abe8fe7894c47c70f3587
63,‘Concerning’ number of flu cases,Health Problems,2024-07-10,Australia,https://www.news.com.au/lifestyle/health/health-problems/more-than-3400-children-aged-1019-test-positive-for-influenza-in-one-week-nsw-health-data-reveals/news-story/0cccec53e22aae06b28e05385723de78
64,Child killed and 10 others injured in crash,BREAKINGNT,2024-07-10,Australia,https://www.news.com.au/national/northern-territory/breaking-child-killed-and-10-others-injured-in-crash/news-story/96f1ef5ee4a565a94051ae824a1c6c97
65,‘Sent for scans’: Hynes injury rocks Sharks,NRL,2024-07-10,Australia,https://www.news.com.au/sport/nrl/nrl-2024-nicho-hynes-goes-down-at-sharks-training-with-ankle-injury/news-story/66bc514a16036bfc4f55dd04edc1a0d5
66,Injury scare iced for recalled NSW ace,UpdatedNRL,2024-07-10,Australia,https://www.news.com.au/sport/nrl/nsw-coach-lauded-the-form-of-bradman-best-who-has-been-sent-for-scans-on-his-hamstring-after-earning-a-recall/news-story/55eb74c116de035f4e08a3eb8a13facf
67,‘Chip on your shoulder’: Debutant’s hard road,Rugby,2024-07-10,Australia,https://www.news.com.au/sport/rugby/bolter-isaac-kailea-joins-growing-list-of-victorian-wallabies-and-could-have-best-birthday-ever-at-aami-park/news-story/ebb7614b66a3eee8e16d7a5e43e4ae06
68,Smith’s US message after World Cup snub,Cricket,2024-07-10,Australia,https://www.news.com.au/sport/cricket/steve-smith-unleashes-in-major-league-cricket-debut/news-story/4ee0d1e9b211793997ba929c3995145f
69,Disturbing details on horror fatal fire,NSW & ACT Crime,2024-07-10,Australia,https://www.news.com.au/national/nsw-act/crime/sydney-house-fire-dad-still-in-coma-one-day-after-blaze-horror/news-story/f883518f69fe0350cc416fe158161932
